segment,file,start_sec,duration_sec,fake_probability,authenticity_score,f0_std,f0_range_semitones,f0_jitter,vibrato_rate_mean,vibrato_rate_std,vibrato_depth_mean,vibrato_depth_std,periodicity_score,micro_variation,vri_score,hnr_mean,hnr_std,hnr_low_ratio,long_note_stability
1,external_ai_bv13z4y1b7pl_001.wav,0,10.0,0.2833333333333333,0.7166666666666667,7.923958901796771,1.9999999999999936,0.00425382142541546,5.422935956790124,1.5867762412953346,39.807692307692,23.327961483641136,0.11995844660673419,11.492013576054836,0.41210877584499994,6.215728891901082,3.5295173189524323,0.8713235294117647,0.7214559413551171
2,external_ai_bv13z4y1b7pl_002.wav,8,10.0,0.30333333333333334,0.6966666666666667,9.198255559545798,2.3000000000000003,0.005446105700370782,5.660762288786483,1.5707008177340087,47.84313725490167,40.064346552357605,0.1084583758344421,17.093821033303712,0.354670721821556,4.169026151110141,2.924015063576343,0.9627906976744186,0.7046007043175007
3,external_ai_bv13z4y1b7pl_003.wav,16,10.0,0.47,0.53,39.89931756041366,11.400000000000004,0.01327936321596791,5.663329725829725,1.6071645561710588,137.9268292682926,169.17834293790307,0.06243953263366362,59.7916389983451,0.2092283707757523,16.364566108524816,7.420591404313965,0.22306238185255198,0.34190145511635917
4,external_ai_bv13z4y1b7pl_004.wav,24,10.0,0.45666666666666667,0.5433333333333333,50.95164968503824,11.600000000000001,0.017768387478789536,5.4017016411084215,1.5879174329943238,167.84946236559136,245.13700124916144,0.06250436569543769,113.27740805021016,0.17879980066799878,16.68172029132407,6.8933986627683845,0.17688022284122562,0.30029455190958265
5,external_ai_bv13z4y1b7pl_005.wav,32,10.0,0.31666666666666665,0.6833333333333333,40.31497425958507,11.100000000000007,0.013372810741186222,5.679353309120258,1.6024974765332323,134.5054945054943,151.46365564319203,0.049439226723983015,61.50462882192454,0.20881240132708595,16.95415740062426,8.173034153465503,0.2050520059435364,0.41094919002424013
6,external_ai_bv13z4y1b7pl_006.wav,40,10.0,0.3566666666666667,0.6433333333333333,43.91932129890901,11.500000000000005,0.01122889423283901,6.051587301587301,1.3114975243024953,113.44444444444457,158.7182066928759,0.05283158608243043,62.24774636291654,0.2204785472824878,18.37273088488488,7.892051361702527,0.16580310880829016,0.32817536156210503
7,external_ai_bv13z4y1b7pl_007.wav,48,10.0,0.35333333333333333,0.6466666666666667,47.5298986018308,11.80000000000001,0.014511532196712668,5.8511685924369745,1.5294797633698303,128.4375,224.95521834448886,0.06973234955824101,98.96424129622902,0.18902042417012913,20.37188491362123,8.090118249962682,0.14329738058551617,0.35772899704200894
8,external_ai_bv13z4y1b7pl_008.wav,56,10.0,0.19666666666666666,0.8033333333333333,45.87573244343648,11.79999999999999,0.02237090497512451,5.707248984865263,1.5960594534253478,231.64383561643845,345.41225596609814,0.08765150209687338,157.7243646574985,0.16991018646471942,17.866031280040097,9.538669521551219,0.21267893660531698,0.2929879615482051
9,external_ai_bv13z4y1b7pl_009.wav,64,10.0,0.06666666666666667,0.9333333333333333,52.652660397101656,11.899999999999984,0.025143886764286763,5.529376102292769,1.5973288154730105,222.68292682926847,328.28099497187816,0.0629096650723197,167.82212635198326,0.16307108191868352,17.914279920772806,8.556107339484415,0.18677685950413223,0.23386973664499736
10,external_ai_bv13z4y1b7pl_010.wav,72,10.0,0.6233333333333333,0.3766666666666667,36.937105382198446,11.600000000000001,0.011323336385473781,6.040072278911564,1.3031716537288534,107.00000000000024,184.92971637895303,0.058881958602713724,74.70145589620918,0.2109436921084891,19.84091504130235,6.721800136384721,0.09170305676855896,0.29829182465549314
11,external_ai_bv13z4y1b7pl_011.wav,80,10.0,0.41,0.5900000000000001,30.94625415512627,7.8000000000000025,0.012745400550570532,5.7570684523809526,1.6280952928365027,123.28124999999993,145.44172681331014,0.07490335421816739,55.35307040134764,0.22012450670257538,17.113464243877953,7.194049439862612,0.15217391304347827,0.22886275858991084
12,external_ai_bv13z4y1b7pl_012.wav,88,10.0,0.23,0.77,44.18115499185298,11.79999999999999,0.01830166955570079,5.756448412698412,1.6321988481928915,172.1739130434782,238.93252679982464,0.0926102671283783,97.45274629489239,0.18980902754371978,16.54444538076639,7.559100620258445,0.18741633199464525,0.25582197844977167
