segment,file,start_sec,duration_sec,fake_probability,authenticity_score,f0_std,f0_range_semitones,f0_jitter,vibrato_rate_mean,vibrato_rate_std,vibrato_depth_mean,vibrato_depth_std,periodicity_score,micro_variation,vri_score,hnr_mean,hnr_std,hnr_low_ratio,long_note_stability
1,external_ai_bv1pq4y1g7gv_001.wav,0,10.0,0.4633333333333333,0.5366666666666666,47.30447495116442,11.099999999999998,0.015366068936742368,5.041914682539683,1.4089726738003228,149.59459459459453,224.2310535500981,0.07808888854739203,92.84917884663702,0.19843393800032336,26.494361115121595,9.43138816672798,0.09612625538020086,0.2837362744534878
2,external_ai_bv1pq4y1g7gv_002.wav,8,10.0,0.37666666666666665,0.6233333333333333,39.39486694486454,11.400000000000013,0.015034126432222288,5.510628090033827,1.3700384620794583,139.8837209302327,183.28713136957984,0.06948393126990322,77.97519222089258,0.2093795878378537,23.731076516409434,9.809834198366783,0.14385474860335196,0.4502507023555049
3,external_ai_bv1pq4y1g7gv_003.wav,16,10.0,0.09,0.91,59.352740181835316,11.900000000000006,0.01850581524981265,5.296331272893772,1.5159807051109617,185.86666666666665,275.30876403695476,0.08935218351787301,118.49347019704867,0.18490161300385888,22.104266973482094,9.474713245354991,0.17587939698492464,0.2504707050613646
4,external_ai_bv1pq4y1g7gv_004.wav,24,10.0,0.5,0.5,33.089267947193854,11.899999999999984,0.017867536313848315,5.154427842565598,1.4162401542033778,196.1643835616437,281.2819486242945,0.09456524230358765,123.94150509159556,0.18907094282371878,23.032372040847786,7.913280406999596,0.10668563300142248,0.25716378988843763
5,external_ai_bv1pq4y1g7gv_005.wav,32,10.0,0.2733333333333333,0.7266666666666667,46.08347831893941,11.899999999999984,0.02047363034571355,5.251965755437976,1.395689274968351,198.5365853658536,282.92945751512616,0.06892041835113805,124.91509958422748,0.18285705480287454,23.325835417495277,8.881414944290432,0.11683417085427136,0.2015403716206466
6,external_ai_bv1pq4y1g7gv_006.wav,40,10.0,0.51,0.49,48.80037499902074,11.900000000000006,0.016305248403522637,5.193053784013606,1.3573791924403413,163.13253012048202,228.47281196952338,0.06283938974472741,97.5151596919114,0.19486633450229468,24.340515854238976,8.56977846240723,0.09090909090909091,0.20518306948454818
7,external_ai_bv1pq4y1g7gv_007.wav,48,10.0,0.5566666666666666,0.44333333333333336,31.089971470612454,11.900000000000006,0.019533550063715228,5.005787037037037,1.3160314341105441,188.29268292682917,274.2164219079912,0.05659693885762322,124.51136093623035,0.18420855496201433,23.063064398160872,8.069582704545963,0.09126466753585398,0.2505356913554463
8,external_ai_bv1pq4y1g7gv_008.wav,56,10.0,0.3433333333333333,0.6566666666666667,47.45767741059775,11.900000000000007,0.016469635978531568,5.4492935823754785,1.266289012990704,157.2289156626505,240.41286402349786,0.09089598826616031,107.33289976840967,0.202903704591197,23.064338216650384,9.814327484170702,0.13105413105413105,0.2966139274757068
9,external_ai_bv1pq4y1g7gv_009.wav,64,10.0,0.27666666666666667,0.7233333333333334,41.9481826415673,11.299999999999999,0.01453272569236331,5.730637947269304,1.3824032731312617,147.19512195121953,177.11285082518458,0.07943074120892527,69.59318475789198,0.21638586063974988,22.33749978002276,9.760629967424443,0.13908872901678657,0.33219668284757237
10,external_ai_bv1pq4y1g7gv_010.wav,72,10.0,0.7733333333333333,0.22666666666666668,54.523813104827795,11.500000000000005,0.018816064809701008,5.609850922350923,1.4140810012436036,176.019417475728,242.84454976613517,0.05239099697115327,108.16122164396828,0.1849653615826582,23.242065879902675,6.830532594724985,0.05636978579481398,0.24710971976680593
11,external_ai_bv1pq4y1g7gv_011.wav,80,10.0,0.69,0.31000000000000005,40.008061288029886,11.89999999999998,0.03441713077062474,5.573136427566808,1.3922955006007705,214.67889908256882,342.15337729072394,0.08449788574330717,202.1194811837714,0.17350655827321382,24.876558856629774,4.799416537731983,0.004434589800443459,0.13880115650523092
12,external_ai_bv1pq4y1g7gv_012.wav,88,10.0,0.7166666666666667,0.2833333333333333,24.430988252116652,11.8,0.032926053323633596,5.343158983451537,1.4436882302317167,257.53846153846155,250.2001092616792,0.09775907445939314,130.57698115727933,0.19030926358531675,22.712846087356116,5.357082814552497,0.0,0.26295494470501674
13,external_ai_bv1pq4y1g7gv_013.wav,96,10.0,0.3233333333333333,0.6766666666666667,45.63198568639003,11.600000000000016,0.01655075701186724,5.397703786375661,1.584074462901353,158.1081081081082,237.1775231800565,0.06274555884527755,94.08768655786268,0.18493173942439417,23.299621396555953,8.759680783228934,0.11616954474097331,0.2685324843978268
14,external_ai_bv1pq4y1g7gv_014.wav,104,10.0,0.44333333333333336,0.5566666666666666,37.31262004943628,11.8,0.019808627893813914,5.070271164021164,1.2445489612501746,195.66265060240974,270.2127353400693,0.05652741541882252,114.50523263313335,0.1902667164393936,22.747881430842543,8.687745546752602,0.12242268041237113,0.2422149867700548
15,external_ai_bv1pq4y1g7gv_015.wav,112,10.0,0.38,0.62,52.76549653946431,11.200000000000003,0.016105884892373534,5.477452311333889,1.4513975497452396,163.01204819277103,225.1518092404294,0.06313143444788086,84.1634826979948,0.19537159142043903,24.671292860464693,8.882833075759049,0.0982367758186398,0.32341498762730375
16,external_ai_bv1pq4y1g7gv_016.wav,120,10.0,0.5166666666666667,0.4833333333333333,32.45053614463228,11.499999999999984,0.010693420023128473,5.394945276497697,1.284943582994462,112.19512195121933,168.13920184096523,0.06913099244554162,67.32192592949198,0.22132411397977952,23.994745615139525,8.035931493209786,0.07989347536617843,0.3704750650954937
