protocol,feature_set,method,AUC,EER,reversed,mean_score_real,mean_score_fake,deg_vs_wildwithin
Wild_T02_within,HNR,POOL_RICH,0.67,37.97,False,0.343,0.483,
CtrSVDD_within,FULL,clip_mean,0.894,20.15,False,0.345,0.629,
CtrSVDD_within,FULL,MIL_mean,0.905,18.47,False,0.353,0.611,
CtrSVDD_within,FULL,MIL_max,0.88,20.98,False,0.42,0.665,
CtrSVDD_within,FULL,POOL_RICH,0.885,20.27,False,0.356,0.619,
CtrSVDD_within,CLEAN,clip_mean,0.695,35.65,False,0.433,0.537,
CtrSVDD_within,CLEAN,MIL_mean,0.718,33.85,False,0.432,0.528,
CtrSVDD_within,CLEAN,MIL_max,0.686,36.45,False,0.507,0.598,
CtrSVDD_within,CLEAN,POOL_RICH,0.709,35.39,False,0.435,0.536,
CtrSVDD_within,HNR,clip_mean,0.567,46.11,False,0.461,0.511,
CtrSVDD_within,HNR,MIL_mean,0.576,45.34,False,0.459,0.502,
CtrSVDD_within,HNR,MIL_max,0.564,45.38,False,0.571,0.611,
CtrSVDD_within,HNR,POOL_RICH,0.597,43.7,False,0.456,0.517,
SingerLens_within,FULL,clip_mean,0.984,6.18,False,0.265,0.735,
SingerLens_within,FULL,MIL_mean,0.996,3.59,False,0.294,0.72,
SingerLens_within,FULL,MIL_max,0.99,4.52,False,0.434,0.848,
SingerLens_within,FULL,POOL_RICH,0.981,6.27,False,0.284,0.716,
SingerLens_within,CLEAN,clip_mean,0.735,33.37,False,0.412,0.568,
SingerLens_within,CLEAN,MIL_mean,0.792,29.21,False,0.43,0.555,
SingerLens_within,CLEAN,MIL_max,0.732,32.44,False,0.612,0.71,
SingerLens_within,CLEAN,POOL_RICH,0.767,30.97,False,0.404,0.58,
SingerLens_within,HNR,clip_mean,0.693,35.76,False,0.405,0.581,
SingerLens_within,HNR,MIL_mean,0.741,32.16,False,0.432,0.555,
SingerLens_within,HNR,MIL_max,0.652,38.15,False,0.695,0.787,
SingerLens_within,HNR,POOL_RICH,0.741,32.17,False,0.386,0.59,
